from,to,relationship
b82d266f-f6ad-4d2e-b4e8-9ccc0eb90e5e,d35c9238-678a-4035-963b-1b48b0d98197,hasResponsiblePrincipalInvestigator
8f11ce1c-9580-4c03-88e5-1f9bdda5bd98,d35c9238-678a-4035-963b-1b48b0d98197,hasResponsiblePrincipalInvestigator
baccdcf4-63d2-4bea-8cd9-01f94af04f1d,d35c9238-678a-4035-963b-1b48b0d98197,hasResponsiblePrincipalInvestigator
