from,to,relationship
cfad544d-1c19-4bc2-ba30-2dc7379e5e26,f7105dd1-7ee7-4516-beb9-645a9b164527,hasResponsiblePrincipalInvestigator
8c7f91c2-419c-42cd-9d98-ce22945b9cb7,f7105dd1-7ee7-4516-beb9-645a9b164527,hasResponsiblePrincipalInvestigator
f78480f8-4131-4584-a914-99d8bf22e7d2,f7105dd1-7ee7-4516-beb9-645a9b164527,hasResponsiblePrincipalInvestigator
